nBids,PowerSeller,VerifyID,Sealed,Minblem,MajBlem,LargNeg,LogBook,MinBidShare,Sold
2,0,0,0,0,0,0,-0.2237,-0.2088,True
6,1,0,0,0,0,0,0.6073,-0.3478,True
1,1,0,0,0,0,0,0.0332,0.4423,True
1,0,0,0,1,0,0,0.3755,0.1441,True
4,0,0,0,0,0,1,1.4347,-0.4104,True
2,0,0,0,0,0,0,-0.9142,0.6318,True
2,0,0,0,1,0,0,-0.2477,0.2953,True
2,0,0,0,0,0,0,-0.9142,0.6318,True
2,1,0,0,0,0,0,0.5108,0.055,True
6,0,0,1,0,0,0,-0.3621,0.0247,True
0,1,0,0,0,0,0,-0.2237,0.4767,False
3,0,0,0,1,0,1,-0.4574,-0.2124,True
5,0,0,0,0,0,0,0.8863,-0.5257,True
3,0,0,0,0,0,0,0.3755,-0.4041,True
1,1,0,0,0,0,0,0.0732,0.1278,True
5,0,0,0,0,0,0,-0.3621,-0.3207,True
2,0,0,0,0,0,0,-0.3621,-0.3207,True
8,1,0,1,0,0,0,0.9205,-0.3273,True
5,1,0,1,0,0,0,0.2189,-0.0726,True
7,1,0,1,0,0,0,0.8863,-0.3186,True
5,1,0,1,0,0,0,0.2189,-0.0726,True
3,1,0,1,0,0,0,-0.052000000000000005,0.0845,True
6,0,0,0,0,0,1,1.9993,-0.5337,True
3,0,0,0,0,0,0,0.7365,0.2605,True
0,0,0,0,0,0,0,0.0332,0.9407,False
1,0,0,0,0,0,0,-1.0254,0.6564,True
2,0,0,0,0,0,0,-1.1506,0.5543,True
7,0,0,0,0,0,0,1.0758,-0.4843,True
7,0,0,0,0,0,0,1.4347,-0.5125,True
6,0,0,0,0,1,0,0.5108,-0.4134,True
1,1,0,0,0,0,0,-0.6398,0.7415,True
6,0,0,0,0,0,0,0.7365,-0.4375,True
4,1,0,0,0,0,0,-0.6398,-0.1385,True
1,1,0,0,0,0,0,-1.0254,0.5976,True
3,1,0,0,0,0,0,-0.9142,0.4739,True
0,0,0,0,0,0,0,0.0332,0.4835,False
6,1,0,0,0,0,0,-0.6398,-0.1385,True
4,1,0,0,0,0,0,-0.1723,-0.3025,True
1,0,0,0,0,0,0,-0.5628,0.4956,True
3,1,0,0,0,0,0,-0.8141,0.3737,True
4,1,0,0,0,0,0,-0.4608,0.3186,True
3,1,0,0,0,0,0,-1.0254,-0.0506,True
1,0,0,0,0,0,0,-0.7231,0.5954,True
0,0,0,0,0,0,0,-0.3033,0.9046,False
0,0,0,0,0,0,0,0.0332,0.4427,False
0,0,0,0,0,0,0,0.0332,1.0509,False
2,0,0,0,0,1,0,-0.0767,-0.2615,True
3,0,0,0,0,1,0,-0.2477,-0.2025,True
3,0,0,0,0,0,0,-0.6398,-0.2585,True
9,0,0,0,0,0,0,0.3755,-0.3896,True
4,1,0,0,0,0,0,-0.052000000000000005,-0.0044,True
6,0,0,0,0,0,0,0.3755,-0.1432,True
6,0,0,0,0,0,1,1.9993,-0.5337,True
1,0,0,0,0,0,0,0.23399999999999999,-0.1119,True
2,0,0,0,0,0,0,-0.6044,0.5026,True
3,1,0,0,0,0,0,-0.8141,-0.0072,True
3,1,0,0,0,0,0,-0.7231,-0.0568,True
5,1,0,0,0,0,0,-1.0254,0.127,True
4,1,0,0,0,0,0,-0.7231,-0.0568,True
3,1,0,0,0,0,0,-1.0254,0.127,True
3,1,0,0,1,0,0,-1.0923,0.1758,True
3,1,0,0,0,0,0,-0.9142,0.0528,True
4,0,0,0,0,0,0,0.40399999999999997,-0.1554,True
1,1,0,0,0,0,0,0.5108,0.5556,True
4,1,1,0,0,0,0,0.9205,-0.494,True
6,0,0,0,0,0,1,0.674,-0.4381,True
0,1,0,0,0,0,0,0.1487,0.695,False
2,1,0,0,0,0,0,-1.0254,0.5517,True
2,1,0,0,0,0,0,-0.9142,0.5276,True
7,0,0,0,0,0,0,0.40399999999999997,-0.3244,True
2,1,0,0,0,0,0,-0.9142,0.5065,True
1,1,0,0,0,0,0,-0.5628,0.3927,True
5,0,0,0,0,0,0,0.40399999999999997,-0.4153,True
2,1,0,0,0,0,0,-0.8141,-0.0072,True
0,1,0,0,1,0,0,2.8247,0.1852,False
4,1,0,0,0,0,0,-0.7231,-0.0568,True
3,1,0,0,0,0,0,-0.8141,-0.0072,True
1,1,0,0,0,0,0,-1.0254,0.127,True
1,1,0,0,0,0,0,-1.0254,0.127,True
4,1,0,0,0,0,0,-0.7231,-0.0568,True
1,1,0,0,0,0,0,-1.0254,0.127,True
2,1,0,0,0,0,0,-1.0923,0.1758,True
3,1,0,0,0,0,0,-0.9142,0.0528,True
2,1,0,0,0,0,0,-0.9738,0.0916,True
0,1,0,0,0,0,0,2.8247,0.1635,False
0,1,0,0,0,0,0,0.0332,0.6019,False
3,1,0,0,0,0,0,-0.6398,-0.0985,True
5,1,0,0,0,1,0,-0.0767,-0.3508,True
4,0,0,0,0,0,0,0.5108,-0.4318,True
3,1,0,0,0,0,0,-0.7231,-0.0568,True
1,1,0,0,1,0,0,-1.0254,0.127,True
2,1,0,0,0,0,0,-0.9142,0.0528,True
6,0,0,0,0,0,0,0.5108,-0.4318,True
5,1,0,0,0,0,0,-0.3033,-0.264,True
2,1,0,0,0,0,0,-1.0923,0.6789,True
4,1,0,0,0,0,0,-0.4608,0.3521,True
2,1,0,0,0,0,0,-1.1506,0.7543,True
2,1,0,0,0,0,0,-1.0254,0.5976,True
1,1,0,0,0,0,0,0.5108,0.5337,True
0,1,0,0,0,0,0,0.5108,0.5347,False
2,1,0,0,0,0,0,-0.052000000000000005,0.0863,True
0,1,0,0,0,0,0,0.3755,0.4629,False
1,1,0,0,1,0,0,-0.2477,0.2953,True
6,1,0,0,0,0,0,1.0758,-0.4634,True
9,0,0,0,0,0,1,1.4347,-0.5049,True
2,0,0,0,0,1,0,0.40399999999999997,-0.1568,True
1,0,0,1,0,0,0,-0.3621,0.4193,True
4,0,0,1,0,0,0,-0.3621,0.4193,True
8,0,0,0,0,0,0,0.9205,-0.376,True
1,0,0,1,0,0,0,-0.3033,0.3623,True
6,0,0,0,0,0,0,0.7455,-0.3184,True
6,0,0,0,0,0,0,0.5108,-0.3627,True
0,0,0,0,0,0,0,0.0332,0.4244,False
3,0,0,0,0,0,0,-0.3621,-0.3207,True
4,0,0,0,0,0,0,-0.3621,-0.3207,True
4,0,0,0,0,0,0,-0.4574,-0.295,True
5,1,0,1,0,0,0,0.2189,-0.0726,True
6,1,0,1,0,0,0,0.8863,-0.3186,True
4,1,0,1,0,0,0,0.2189,-0.0726,True
5,1,0,1,0,0,0,-0.052000000000000005,0.0845,True
4,1,0,1,0,0,0,-0.3621,0.3253,True
5,1,0,1,0,0,0,-0.3621,0.3253,True
5,1,0,1,0,0,0,-0.3033,0.2737,True
3,1,0,1,0,0,0,-0.3621,0.3253,True
2,0,0,1,0,0,0,-0.3621,0.2672,True
6,0,0,0,0,0,0,0.0332,-0.2312,True
5,0,0,0,0,0,0,-0.8141,-0.1977,True
4,0,0,0,0,0,0,1.1181,-0.5226,True
4,0,0,0,0,0,0,-0.3621,-0.3359,True
